4559 ,-32275 ,13664 ,1673 ,14205 
2144 ,-11324 ,-10210 ,-2523 ,15735 
-1129 ,1157 ,-1222 ,-2481 ,1974 
-24566 ,63368 ,-27053 ,-11827 ,39794 
-40112857 ,-2517396 ,-7806146 ,-1512357 ,22850519 
71745 ,-214230 ,67355 ,26459 ,61630 
-24557 ,11944 ,6145 ,786 ,11603 
-960359 ,-435042 ,-563549 ,1593628 ,1955781 
196586 ,-178086 ,17135 ,83885 ,135446 
44932 ,-189741 ,-76014 ,-2775 ,168149 
19570 ,-199075 ,-25760 ,14992 ,95435 
4751 ,-44864 ,73159 ,2727 ,9692 
659733 ,-2325639 ,-655917 ,123755 ,1152024 
-965892 ,-1134594 ,-235336 ,-113282 ,883881 
1332004 ,-158334 ,-143338 ,-311027 ,701171 
0 ,0 ,0 ,0 ,0 
60406 ,-35270 ,9358 ,-12097 ,18495 
24290 ,55801 ,25174 ,-47625 ,48917 
952741 ,-486413 ,92587 ,199 ,431719 
37943 ,19234 ,45129 ,-15384 ,49058 
12442 ,-10543 ,25366 ,-4921 ,17425 
-7850 ,10397 ,-1964 ,-2312 ,9512 
50954 ,46648 ,44880 ,-80318 ,127311 
-219060 ,-1386244 ,53238 ,143423 ,471292 
37601 ,-351755 ,47222 ,-57211 ,140941 
-46501 ,-8076252 ,7254042 ,1268980 ,2032120 
5512329 ,-5084219 ,794596 ,3801628 ,1521083 
-9356 ,-10590 ,4134 ,4684 ,6889 
-39827 ,-1695 ,5684 ,4857 ,12642 
-2808 ,-23689 ,52003 ,-8563 ,25364 
9131 ,-8495 ,2507 ,-999 ,9727 
7071 ,970 ,-3846 ,-765 ,3730 
-5147 ,5916 ,3745 ,-1088 ,2699 
3439 ,2737 ,-5014 ,1574 ,5842 
-29421546 ,-22787574 ,7663484 ,20057784 ,12431461 
21605 ,-134776 ,19659 ,3375 ,39418 
-2114 ,736 ,353 ,170 ,3015 
336336 ,-996351 ,-578126 ,535027 ,1949172 
-66136 ,-93514 ,203575 ,3960 ,190507 
82945 ,-35511 ,36124 ,-4501 ,72316 
18045 ,-6095 ,-287 ,-9950 ,15641 
2603 ,-2053 ,14707 ,433 ,4029 
-37152 ,-171584 ,85748 ,28880 ,326093 
-4415216 ,-8192232 ,-1313170 ,38077 ,3645580 
6857831 ,3701175 ,303809 ,-9071002 ,6369484 
-503925 ,542502 ,90192 ,-490682 ,310852 
-22324 ,139960 ,15509 ,-202325 ,88135 
-28069 ,4372 ,2032 ,-13948 ,22237 
1674726 ,-1831968 ,-2107836 ,314470 ,2433138 
850844 ,-424421 ,-201709 ,43317 ,488690 
62155 ,-185395 ,-123630 ,-9187 ,161285 
-82308 ,-179890 ,21971 ,-22101 ,130173 
689996 ,-857454 ,-156 ,-274886 ,931504 
1361036 ,-5728313 ,639013 ,196039 ,2895345 
-1758341 ,-5840476 ,-133313 ,-802411 ,4148686 
9138397 ,-6479327 ,1213338 ,-1732406 ,4338453 
10791802 ,-6372980 ,1707340 ,-10580376 ,7218926 
75746 ,-136739 ,-10547 ,-55218 ,95621 
491917 ,-440508 ,38763 ,-259561 ,334656 
-302579 ,-576970 ,408320 ,133085 ,313259 
-139604 ,-200154 ,77947 ,26662 ,224501 
200694 ,-91118 ,14726 ,27804 ,77552 
10734 ,-12761 ,3103 ,880 ,12610 
-40483 ,32321 ,-60988 ,-10179 ,53206 
-17442844 ,-93945928 ,-4809262 ,-6842308 ,67854095 
-80503 ,-96949 ,192055 ,118139 ,238269 
-15345 ,-97880 ,-1752 ,-1578 ,68302 
-1233301 ,-194595 ,-2623663 ,-3220323 ,9027595 
984654 ,417822 ,-852057 ,439336 ,1009726 
338193 ,366178 ,-541677 ,-195399 ,903512 
129559 ,246008 ,-206658 ,-79011 ,284370 
16658 ,43490 ,99411 ,6168 ,49078 
-360705 ,2359281 ,-237378 ,-74579 ,3197678 
-1527672 ,-1117311 ,-407235 ,435541 ,2131632 
36011198 ,-12269229 ,2575197 ,-7385902 ,6112833 
-1521367 ,411272 ,187905 ,21314 ,450668 
59810 ,-34695 ,9613 ,-347 ,33726 
-5001 ,-4772 ,6861 ,-7534 ,18015 
1392784 ,-2501302 ,51143 ,-244570 ,1744171 
122965 ,-302262 ,134236 ,-5812 ,175376 
55301 ,-256435 ,51357 ,-2342 ,144703 
-55277 ,-79242 ,-9643 ,-1809 ,65297 
463242 ,-1306256 ,62907 ,18616 ,601203 
2226634 ,-4114932 ,1088329 ,-590378 ,2220063 
-152823 ,2977532 ,252443 ,63268 ,1311794 
-2298889 ,-3166926 ,817441 ,2153158 ,3120723 
1826030 ,-2940674 ,895990 ,-329779 ,3522792 
48563 ,-106443 ,-29792 ,-87088 ,109970 
109267 ,-146252 ,19980 ,-202149 ,150330 
-325216 ,-362423 ,243812 ,-77740 ,287995 
-32467 ,-158499 ,84526 ,-18501 ,97637 
1369 ,-310639 ,36017 ,130024 ,66850 
-10450 ,-3959 ,624 ,-4065 ,6349 
22876 ,-25618 ,-34359 ,-11912 ,57773 
-74778951 ,-38777596 ,31436475 ,-14173292 ,48127583 
1046841 ,-1842244 ,525446 ,-51755 ,515531 
-13308 ,26207 ,23781 ,153 ,20047 
-1202569 ,99725 ,282183 ,-293153 ,3338833 
56648 ,95053 ,24926 ,-160293 ,124942 
-153988 ,213254 ,-7249 ,1842 ,277617 
10024 ,29942 ,-4386 ,-773 ,19170 
3506 ,9289 ,10647 ,-72 ,6375 
75949 ,506434 ,-45504 ,-14130 ,348181 
-4323342 ,-2000680 ,-1259864 ,946877 ,2612790 
46987 ,-88722 ,-23362 ,8849 ,44324 
-732641 ,-1553857 ,41794 ,1576201 ,176409 
749360 ,-469501 ,22541 ,-38393 ,107399 
56935 ,-180921 ,34672 ,25147 ,75380 
3875742 ,-3025268 ,336163 ,341772 ,2018691 
342581 ,-104110 ,-211434 ,-146208 ,335134 
13561 ,8317 ,-24536 ,-25190 ,109184 
-55599 ,-19801 ,52078 ,6750 ,63684 
-472142 ,105288 ,114812 ,-38731 ,439527 
-782779 ,-239600 ,359421 ,364799 ,461979 
5105500 ,-11254867 ,638874 ,-836349 ,4913579 
479763 ,-2778571 ,10113882 ,-1208114 ,4866970 
-465531 ,-2199578 ,257284 ,1864740 ,2375703 
-105505 ,4179 ,33612 ,-5548 ,49420 
135448 ,226410 ,-15250 ,26313 ,175578 
-391544 ,-185973 ,5837 ,10305 ,140460 
72896 ,-128092 ,-48692 ,1281 ,58525 
-1523 ,-40825 ,13694 ,1317 ,15940 
-14997 ,4708 ,-3693 ,-1479 ,5335 
32833 ,-9199 ,-21889 ,4249 ,27044 
60000266 ,-43552957 ,-28294 ,-10371650 ,27545053 
-3656 ,13551 ,-7139 ,-6118 ,11946 
238943 ,-127763 ,-137331 ,-6353 ,122885 
148191 ,-10497592 ,15481583 ,-1332314 ,6778442 
-85504 ,655871 ,-156520 ,-133952 ,528689 
174653 ,1242249 ,-476425 ,-80509 ,1001649 
21411 ,37283 ,23045 ,-10479 ,84091 
-2113 ,19473 ,100599 ,5191 ,41105 
-672386 ,389259 ,-89114 ,-110620 ,1298353 
-1426552 ,-1510808 ,1233954 ,42725 ,2567070 
